commit	score	status	description
4ca4882	47.1	baseline	initial state
cdbbdd7	82.9	keep	fix trigger format to User: quote pattern with singular headings
5eb5622	100.0	keep	reformat troubleshooting to Error/Cause/Solution format
30ae325	100.0	keep	boost positive trigger keyword overlap (8→12 hits)
4ba889f	100.0	keep	tighten description wording
db48a49	100.0	keep	add speaker disambiguation troubleshooting entry
fe32c3d	100.0	keep	add quality rule for long transcripts
110f720	100.0	keep	use more deceptive non-trigger (meeting agenda creation, 1 hit vs 12)
1da7ba1	100.0	keep	add troubleshooting for missing speaker labels
2e01016	100.0	keep	clarify output filename for non-numeric transcript names
de55d0f	100.0	keep	add quality rule to preserve speaker terminology
628502f	100.0	keep	broaden supported transcript formats in prerequisites
73215bd	100.0	keep	add quality rule for outcome-focused TL;DR
54083da	100.0	keep	add troubleshooting for non-English transcripts
803850c	100.0	keep	add quality rule for action item deadlines
3614497	100.0	keep	add quote selection guidance (decisions/insights over casual)
b3b6fb2	100.0	keep	make verification step concrete with specific checks
682eb6c	100.0	keep	add action-items and summary tags for discoverability
f003ffc	100.0	keep	add quality rule for chronological topic ordering
0a8a7c2	100.0	keep	make output template flexible for non-episodic meetings
86ef3e7	100.0	keep	add troubleshooting for multi-part transcripts
